epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18300.4,0.67394,0.49755,1.11598,0.95025,0.86836,0.94175,0.70995,0.71904,0.47,1.08196,0.0009176,0.0009176,0.0009176
43,18944.1,0.66536,0.48592,1.10292,0.97428,0.86364,0.95267,0.72015,0.67352,0.48414,1.05127,0.0008912,0.0008912,0.0008912
44,19689.1,0.67943,0.50481,1.11002,0.99722,0.88636,0.93237,0.7423,0.63905,0.40343,1.01746,0.0008648,0.0008648,0.0008648
45,20434.5,0.64799,0.46363,1.10671,0.90266,0.84091,0.93436,0.7125,0.5877,0.49172,1.01284,0.0008384,0.0008384,0.0008384
46,20733.6,0.63695,0.45442,1.09519,0.95058,0.87449,0.93065,0.71658,0.67057,0.48308,1.02904,0.000812,0.000812,0.000812
47,21277.6,0.6579,0.47003,1.09736,0.89063,0.93182,0.95165,0.74653,0.80193,0.48363,1.06589,0.0007856,0.0007856,0.0007856
48,21739.3,0.62548,0.45658,1.08568,0.97553,0.9063,0.95259,0.7423,0.71485,0.39978,1.02745,0.0007592,0.0007592,0.0007592
49,22076.5,0.6311,0.46295,1.08653,0.97184,0.90909,0.95922,0.76738,0.71941,0.44629,1.03279,0.0007328,0.0007328,0.0007328
50,22423.1,0.63073,0.47336,1.08363,0.92963,0.90085,0.95339,0.70842,0.63738,0.47904,1.03901,0.0007064,0.0007064,0.0007064
51,22789.9,0.59938,0.43334,1.05819,0.95095,0.88126,0.95006,0.74158,0.58948,0.44103,0.99996,0.00068,0.00068,0.00068
52,23133.3,0.61182,0.44449,1.07005,1,0.85823,0.94688,0.74771,0.55584,0.43242,1.00915,0.0006536,0.0006536,0.0006536
53,23478.1,0.59577,0.43317,1.06267,0.91146,0.93597,0.95904,0.7576,0.54418,0.37009,0.9732,0.0006272,0.0006272,0.0006272
54,23807.2,0.61283,0.432,1.06059,0.9415,0.88636,0.9528,0.75055,0.61562,0.44476,0.99343,0.0006008,0.0006008,0.0006008
55,24043.6,0.5712,0.42319,1.04762,0.94926,0.90909,0.93052,0.70575,0.69777,0.46086,1.04205,0.0005744,0.0005744,0.0005744
56,24277,0.60503,0.42746,1.06152,0.8843,0.93182,0.94864,0.75089,0.6556,0.46784,1.02172,0.000548,0.000548,0.000548
57,24571.4,0.5972,0.4233,1.06091,0.97409,0.85459,0.95864,0.74533,0.63978,0.43655,1.03821,0.0005216,0.0005216,0.0005216
58,24746.6,0.58858,0.41704,1.05773,0.90948,0.91346,0.94106,0.72967,0.66526,0.44504,1.01034,0.0004952,0.0004952,0.0004952
